4|3
7|3
9|3
11|3
16|3
22|3
27|3
29|3
31|3
33|3
11|3
48|3
49|3
50|3
51|3
5|4
6|4
9|4
13|4
19|4
23|4
29|4
41|4
47|4
48|4
51|4
5|5
7|5
9|5
17|5
23|5
26|5
29|5
36|5
43|5
48|5
51|5
5|6
6|6
9|6
10|6
23|6
27|6
31|6
32|6
35|6
36|6
37|6
38|6
41|6
48|6
51|6
3|7
6|7
9|7
11|7
14|7
21|7
24|7
25|7
27|7
32|7
33|7
36|7
37|7
39|7
41|7
48|7
51|7
5|8
6|8
9|8
14|8
27|8
29|8
39|8
43|8
48|8
51|8
4|9
7|9
9|9
13|9
14|9
21|9
24|9
32|9
41|9
48|9
51|9
29|10
31|10
32|10
33|10
35|10
48|10
5|11
6|11
9|11
11|11
27|11
29|11
35|11
41|11
43|11
48|11
51|11
5|12
7|12
9|12
11|12
14|12
23|12
27|12
31|12
32|12
33|12
37|12
43|12
48|12
51|12
3|13
7|13
9|13
13|13
24|13
27|13
31|13
43|13
48|13
51|13
5|15
7|15
9|15
13|15
17|15
19|15
21|15
23|15
29|15
38|15
41|15
48|15
51|15
3|17
4|17
5|17
6|17
7|17
9|17
10|17
11|17
13|17
14|17
16|17
17|17
19|17
21|17
22|17
23|17
24|17
25|17
26|17
27|17
28|17
29|17
31|17
32|17
33|17
35|17
36|17
37|17
38|17
39|17
41|17
43|17
48|17
51|17
4|20
7|20
9|20
11|20
16|20
23|20
24|20
27|20
29|20
33|20
43|20
48|20
51|20
56|1
58|1
60|1
64|1
66|1
74|1
79|1
82|1
85|1
87|1
55|2
58|2
60|2
63|2
72|2
74|2
77|2
82|2
85|2
88|2
56|14
58|14
60|14
64|14
66|14
74|14
76|14
82|14
85|14
88|14
55|16
58|16
60|16
63|16
70|16
72|16
74|16
78|16
82|16
85|16
87|16
55|19
58|19
60|19
63|19
70|19
72|19
74|19
78|19
82|19
85|19
87|19
56|31
58|31
60|31
64|31
66|31
74|31
79|31
82|31
85|31
87|31
56|32
58|32
60|32
63|32
68|32
74|32
79|32
82|32
85|32
87|32
55|33
58|33
60|33
63|33
72|33
74|33
76|33
82|33
85|33
88|33
55|34
58|34
60|34
63|34
72|34
74|34
76|34
82|34
85|34
88|34
89|21
92|21
94|21
96|21
98|21
100|21
101|21
104|21
106|21
107|21
109|21
112|21
113|21
116|21
117|21
119|21
123|21
126|21
89|22
92|22
94|22
96|22
98|22
100|22
101|22
104|22
106|22
107|22
109|22
112|22
113|22
116|22
117|22
120|22
124|22
126|22
89|23
92|23
94|23
96|23
98|23
100|23
101|23
104|23
106|23
107|23
109|23
112|23
113|23
116|23
117|23
121|23
123|23
126|23
89|24
92|24
94|24
96|24
98|24
100|24
101|24
104|24
106|24
107|24
109|24
112|24
113|24
116|24
117|24
122|24
124|24
126|24
89|25
92|25
94|25
96|25
98|25
100|25
101|25
104|25
106|25
107|25
109|25
112|25
113|25
116|25
117|25
119|25
123|25
126|25
89|26
92|26
94|26
96|26
98|26
100|26
101|26
104|26
106|26
107|26
109|26
112|26
113|26
116|26
117|26
120|26
124|26
126|26
89|27
92|27
94|27
96|27
98|27
100|27
101|27
104|27
106|27
107|27
109|27
112|27
113|27
116|27
117|27
121|27
123|27
126|27
89|28
92|28
94|28
96|28
98|28
100|28
101|28
104|28
106|28
107|28
109|28
112|28
113|28
116|28
117|28
122|28
123|28
126|28
89|29
92|29
94|29
96|29
98|29
100|29
101|29
104|29
106|29
107|29
109|29
112|29
113|29
116|29
117|29
119|29
124|29
126|29
89|30
92|30
94|30
96|30
98|30
100|30
101|30
104|30
106|30
107|30
109|30
112|30
113|30
116|30
117|30
120|30
123|30
126|30
129|30
130|30
134|30
137|30
140|30
141|30
143|30
148|30
149|30
152|30
89|18
92|18
94|18
96|18
98|18
100|18
101|18
104|18
106|18
107|18
109|18
112|18
113|18
116|18
117|18
121|18
124|18
126|18
